college_name,course,eligibility,required_documents,application_start,application_deadline,admission_process,fees,placement_info,rank
IIT Kharagpur,B.Tech CSE,Minimum 75% in PCM with valid SRMJEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),June,January,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 340459 per year,Average package INR 16 LPA; Highest INR 65 LPA,Mid Tier
SRM University,B.Tech Civil,Minimum 78% in PCM with valid BITSAT score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),April,February,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 178373 per year,Average package INR 16 LPA; Highest INR 64 LPA,Top Tier
Amity University,B.Tech IT,Minimum 64% in PCM with valid JEE Advanced score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),February,January,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 376505 per year,Average package INR 4 LPA; Highest INR 72 LPA,Top Tier
VIT Vellore,B.Tech Data Science,Minimum 78% in PCM with valid State CET score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),April,June,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 431582 per year,Average package INR 17 LPA; Highest INR 64 LPA,Mid Tier
IIT Madras,B.Tech Biotechnology,Minimum 64% in PCM with valid JEE Advanced score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),May,February,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 362119 per year,Average package INR 8 LPA; Highest INR 45 LPA,Top Tier
IIT Kharagpur,B.Tech Data Science,Minimum 72% in PCM with valid State CET score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),March,February,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 445771 per year,Average package INR 23 LPA; Highest INR 21 LPA,Mid Tier
IIT Delhi,B.Tech AI & ML,Minimum 62% in PCM with valid VITEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),February,January,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 112233 per year,Average package INR 7 LPA; Highest INR 72 LPA,Mid Tier
IIT Madras,B.Tech AI & ML,Minimum 68% in PCM with valid JEE Main score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),February,January,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 405452 per year,Average package INR 10 LPA; Highest INR 74 LPA,Mid Tier
NIT Surathkal,B.Tech Biotechnology,Minimum 78% in PCM with valid BITSAT score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),April,February,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 329070 per year,Average package INR 13 LPA; Highest INR 63 LPA,Emerging
BITS Pilani,B.Tech Mechanical,Minimum 82% in PCM with valid BITSAT score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),January,May,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 147422 per year,Average package INR 16 LPA; Highest INR 70 LPA,Emerging
IIT Bombay,B.Tech Biotechnology,Minimum 76% in PCM with valid SRMJEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),January,May,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 159396 per year,Average package INR 15 LPA; Highest INR 77 LPA,Emerging
NIT Trichy,B.Tech Mechanical,Minimum 78% in PCM with valid SRMJEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),June,April,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 419176 per year,Average package INR 21 LPA; Highest INR 60 LPA,Top Tier
Jadavpur University,B.Tech Civil,Minimum 79% in PCM with valid SRMJEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),June,June,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 280514 per year,Average package INR 21 LPA; Highest INR 48 LPA,Top Tier
NIT Trichy,B.Tech Biotechnology,Minimum 83% in PCM with valid SRMJEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),April,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 313250 per year,Average package INR 5 LPA; Highest INR 54 LPA,Mid Tier
IIT Bombay,B.Tech IT,Minimum 60% in PCM with valid JEE Main score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),April,April,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 422111 per year,Average package INR 5 LPA; Highest INR 57 LPA,Top Tier
IIT Madras,B.Tech IT,Minimum 70% in PCM with valid State CET score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),January,June,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 367403 per year,Average package INR 4 LPA; Highest INR 21 LPA,Top Tier
IIT Kanpur,B.Tech Electrical,Minimum 79% in PCM with valid VITEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),February,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 313246 per year,Average package INR 25 LPA; Highest INR 67 LPA,Mid Tier
IIT Madras,B.Tech CSE,Minimum 62% in PCM with valid JEE Advanced score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),June,January,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 420988 per year,Average package INR 15 LPA; Highest INR 18 LPA,Emerging
NIT Warangal,B.Tech Data Science,Minimum 76% in PCM with valid State CET score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),January,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 105391 per year,Average package INR 13 LPA; Highest INR 67 LPA,Emerging
Manipal Institute of Technology,B.Tech ECE,Minimum 64% in PCM with valid BITSAT score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),January,April,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 174700 per year,Average package INR 9 LPA; Highest INR 58 LPA,Top Tier
Delhi Technological University,B.Tech ECE,Minimum 71% in PCM with valid BITSAT score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),May,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 233315 per year,Average package INR 6 LPA; Highest INR 45 LPA,Top Tier
VIT Vellore,B.Tech Biotechnology,Minimum 67% in PCM with valid SRMJEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),April,February,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 355690 per year,Average package INR 15 LPA; Highest INR 37 LPA,Emerging
Chandigarh University,B.Tech Data Science,Minimum 78% in PCM with valid BITSAT score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),May,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 335444 per year,Average package INR 22 LPA; Highest INR 19 LPA,Top Tier
NIT Trichy,B.Tech Electrical,Minimum 81% in PCM with valid JEE Main score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),May,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 211332 per year,Average package INR 16 LPA; Highest INR 61 LPA,Top Tier
PES University,B.Tech Electrical,Minimum 83% in PCM with valid SRMJEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),March,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 426803 per year,Average package INR 7 LPA; Highest INR 55 LPA,Mid Tier
IIT Bombay,B.Tech ECE,Minimum 72% in PCM with valid State CET score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),May,January,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 151889 per year,Average package INR 7 LPA; Highest INR 47 LPA,Mid Tier
SRM University,B.Tech Electrical,Minimum 70% in PCM with valid State CET score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),January,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 202053 per year,Average package INR 16 LPA; Highest INR 71 LPA,Emerging
Anna University,B.Tech Data Science,Minimum 76% in PCM with valid JEE Advanced score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),May,February,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 311086 per year,Average package INR 14 LPA; Highest INR 71 LPA,Emerging
KIIT University,B.Tech CSE,Minimum 79% in PCM with valid JEE Advanced score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),March,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 162424 per year,Average package INR 17 LPA; Highest INR 23 LPA,Top Tier
IIT Madras,B.Tech IT,Minimum 85% in PCM with valid JEE Main score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),January,May,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 163391 per year,Average package INR 9 LPA; Highest INR 26 LPA,Emerging
PES University,B.Tech Mechanical,Minimum 64% in PCM with valid JEE Advanced score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),June,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 282488 per year,Average package INR 6 LPA; Highest INR 52 LPA,Emerging
KIIT University,B.Tech CSE,Minimum 83% in PCM with valid JEE Advanced score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),March,April,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 315737 per year,Average package INR 15 LPA; Highest INR 25 LPA,Emerging
IIT Madras,B.Tech Civil,Minimum 78% in PCM with valid JEE Main score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),April,April,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 148177 per year,Average package INR 24 LPA; Highest INR 48 LPA,Emerging
Manipal Institute of Technology,B.Tech Data Science,Minimum 76% in PCM with valid State CET score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),February,January,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 108593 per year,Average package INR 18 LPA; Highest INR 20 LPA,Emerging
Thapar University,B.Tech Data Science,Minimum 61% in PCM with valid JEE Main score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),May,April,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 102870 per year,Average package INR 10 LPA; Highest INR 45 LPA,Top Tier
Jadavpur University,B.Tech Electrical,Minimum 73% in PCM with valid BITSAT score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),June,May,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 423910 per year,Average package INR 6 LPA; Highest INR 42 LPA,Top Tier
IIT Kharagpur,B.Tech IT,Minimum 70% in PCM with valid State CET score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),April,February,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 498033 per year,Average package INR 13 LPA; Highest INR 51 LPA,Mid Tier
PES University,B.Tech Civil,Minimum 62% in PCM with valid SRMJEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),March,June,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 239286 per year,Average package INR 16 LPA; Highest INR 40 LPA,Top Tier
VIT Vellore,B.Tech Biotechnology,Minimum 81% in PCM with valid JEE Advanced score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),June,June,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 106378 per year,Average package INR 19 LPA; Highest INR 76 LPA,Emerging
Lovely Professional University,B.Tech Electrical,Minimum 62% in PCM with valid JEE Advanced score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),January,April,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 110559 per year,Average package INR 14 LPA; Highest INR 80 LPA,Emerging
NIT Surathkal,B.Tech CSE,Minimum 61% in PCM with valid JEE Advanced score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),June,May,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 133167 per year,Average package INR 20 LPA; Highest INR 54 LPA,Top Tier
Delhi Technological University,B.Tech AI & ML,Minimum 75% in PCM with valid JEE Main score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),February,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 201002 per year,Average package INR 8 LPA; Highest INR 39 LPA,Emerging
VIT Vellore,B.Tech Electrical,Minimum 71% in PCM with valid JEE Main score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),January,April,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 332278 per year,Average package INR 14 LPA; Highest INR 32 LPA,Top Tier
Lovely Professional University,B.Tech Mechanical,Minimum 79% in PCM with valid BITSAT score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),May,January,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 235045 per year,Average package INR 18 LPA; Highest INR 33 LPA,Emerging
Amity University,B.Tech Civil,Minimum 78% in PCM with valid SRMJEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),April,June,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 434556 per year,Average package INR 9 LPA; Highest INR 20 LPA,Emerging
Anna University,B.Tech Data Science,Minimum 85% in PCM with valid JEE Advanced score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),June,April,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 251920 per year,Average package INR 7 LPA; Highest INR 22 LPA,Mid Tier
Manipal Institute of Technology,B.Tech Data Science,Minimum 67% in PCM with valid JEE Main score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),May,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 428911 per year,Average package INR 25 LPA; Highest INR 47 LPA,Emerging
Chandigarh University,B.Tech Civil,Minimum 66% in PCM with valid SRMJEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),January,January,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 240588 per year,Average package INR 13 LPA; Highest INR 80 LPA,Top Tier
SRM University,B.Tech Electrical,Minimum 63% in PCM with valid BITSAT score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),January,February,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 299517 per year,Average package INR 20 LPA; Highest INR 56 LPA,Mid Tier
VIT Vellore,B.Tech CSE,Minimum 60% in PCM with valid JEE Advanced score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),April,February,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 328068 per year,Average package INR 5 LPA; Highest INR 52 LPA,Mid Tier
RV College of Engineering,B.Tech Data Science,Minimum 67% in PCM with valid SRMJEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),April,May,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 161519 per year,Average package INR 18 LPA; Highest INR 61 LPA,Mid Tier
KIIT University,B.Tech Biotechnology,Minimum 78% in PCM with valid State CET score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),May,February,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 465759 per year,Average package INR 19 LPA; Highest INR 44 LPA,Emerging
IIT Kharagpur,B.Tech CSE,Minimum 85% in PCM with valid BITSAT score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),May,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 325084 per year,Average package INR 4 LPA; Highest INR 51 LPA,Top Tier
Anna University,B.Tech CSE,Minimum 77% in PCM with valid BITSAT score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),January,February,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 486260 per year,Average package INR 23 LPA; Highest INR 74 LPA,Mid Tier
Thapar University,B.Tech CSE,Minimum 69% in PCM with valid JEE Main score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),February,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 491272 per year,Average package INR 10 LPA; Highest INR 38 LPA,Mid Tier
Chandigarh University,B.Tech Civil,Minimum 82% in PCM with valid JEE Advanced score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),March,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 317812 per year,Average package INR 16 LPA; Highest INR 39 LPA,Emerging
IIT Madras,B.Tech Data Science,Minimum 60% in PCM with valid SRMJEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),May,April,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 382143 per year,Average package INR 24 LPA; Highest INR 31 LPA,Top Tier
NIT Warangal,B.Tech Mechanical,Minimum 70% in PCM with valid BITSAT score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),May,February,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 130460 per year,Average package INR 12 LPA; Highest INR 62 LPA,Emerging
Jadavpur University,B.Tech CSE,Minimum 77% in PCM with valid JEE Advanced score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),January,June,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 231929 per year,Average package INR 23 LPA; Highest INR 33 LPA,Emerging
Amity University,B.Tech Biotechnology,Minimum 76% in PCM with valid BITSAT score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),June,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 497556 per year,Average package INR 10 LPA; Highest INR 58 LPA,Top Tier
Chandigarh University,B.Tech ECE,Minimum 72% in PCM with valid SRMJEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),February,June,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 434277 per year,Average package INR 6 LPA; Highest INR 19 LPA,Emerging
SRM University,B.Tech Biotechnology,Minimum 68% in PCM with valid SRMJEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),January,April,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 472302 per year,Average package INR 6 LPA; Highest INR 46 LPA,Emerging
NIT Warangal,B.Tech Electrical,Minimum 84% in PCM with valid State CET score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),March,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 206516 per year,Average package INR 7 LPA; Highest INR 41 LPA,Top Tier
Thapar University,B.Tech CSE,Minimum 60% in PCM with valid JEE Main score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),May,June,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 151667 per year,Average package INR 15 LPA; Highest INR 29 LPA,Top Tier
NIT Trichy,B.Tech Electrical,Minimum 70% in PCM with valid SRMJEEE score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),May,March,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 135900 per year,Average package INR 15 LPA; Highest INR 23 LPA,Mid Tier
Lovely Professional University,B.Tech Civil,Minimum 79% in PCM with valid BITSAT score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),February,May,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 404372 per year,Average package INR 9 LPA; Highest INR 75 LPA,Emerging
Jadavpur University,B.Tech Data Science,Minimum 82% in PCM with valid State CET score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),June,May,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 302062 per year,Average package INR 14 LPA; Highest INR 42 LPA,Top Tier
Jadavpur University,B.Tech Electrical,Minimum 73% in PCM with valid State CET score,10th Marksheet; 12th Marksheet; ID Proof; Entrance Scorecard; Passport Photo; Category Certificate (if applicable),February,January,Register online -> Fill application form -> Upload documents -> Pay application fee -> Appear for entrance exam -> Participate in counseling -> Seat allotment -> Fee payment -> Admission confirmation,INR 462606 per year,Average package INR 10 LPA; Highest INR 51 LPA,Top Tier
